STN Code,Name of Monitoring Location,Type Water Body,State Name,Min Temperature,Max Temperature,Min Dissolved Oxygen,Max Dissolved Oxygen,Min pH,Max pH,Min Conductivity,Max Conductivity,Min BOD,Max BOD,Min Nitrate N + Nitrite N,Max Nitrate N + Nitrite N,Min Fecal Coliform,Max Fecal Coliform,Min Total Coliform,Max Total Coliform
1790,"PULICATE LAKE , NELLORE DIST",LAKE,"ANDHRA 
PRADESH",18.0,28.0,4.9,5.5,6.7,8.2,21840,47890,2.20,2.80,0.46,2.80,3,4,210,1600
2353,"KONDAKARLA-AAVA LAKE, PARAWADA 
PHARMA CITY, VISHAKHAPATNAM",LAKE,"ANDHRA 
PRADESH",24.0,30.0,5.0,6.8,7.0,8.5,714,1950,1.60,4.20,0.00,5.82,11,23,150,1100
4368,"KOLLERU LAKE KOKKIRAYALANKA (V), 
KAILALUR (M)",LAKE,"ANDHRA 
PRADESH",25.0,28.0,3.7,7.5,7.2,8.1,979,14730,1.70,5.40,0.00,3.47,4,20,150,1300
4391,"CHENGAMBAKAM TANK IN SRI CITY SEZ, 
TIRUPATHI",TANK,"ANDHRA 
PRADESH",25.0,36.0,3.2,6.1,6.8,7.9,228,1098,2.00,22.00,0.00,4.40,100,200,400,1400
1529,"DEEPAR BEEL, ASSAM",LAKE,ASSAM,22.0,34.0,4.6,11.0,7.1,8.0,144,273,2.70,4.80,1.10,2.00,2,360,360,1500
2205,"MER BEEL AT MADHABPUR, ASSAM",LAKE,ASSAM,13.0,32.0,0.4,8.2,6.3,7.7,29,228,1.30,18.00,0.80,2.40,300,730,720,2000
2206,"DALONI BEEL NEAR JOGIGHOPA, ASSAM",LAKE,ASSAM,22.0,36.0,4.7,5.7,7.2,8.1,51,213,1.80,2.60,0.80,2.10,2,360,300,2300
2218,"DEEPAR BEEL AT BORAGAON NEAR IASST, 
GUWAHATI, ASSAM",LAKE,ASSAM,22.0,34.0,3.7,10.0,7.1,7.9,146,275,2.60,4.60,1.10,2.10,2,730,720,1500
3804,SON BEEL WATER AT KARIMGANJ,LAKE,ASSAM,20.0,26.0,4.1,5.4,6.4,7.4,88,126,1.20,4.00,0.70,1.30,300,730,720,2000
4337,"KAMALABARI LAKE INSIDE KAMALABARI 
CHILDREN,S PARK, GELEKY",LAKE,ASSAM,18.0,31.0,5.5,6.3,6.9,7.6,32,46,1.30,2.30,0.50,1.30,2,300,2,720
1263,"ELANGABEEL SYSTEM POND (CONNECTED TO 
R. KOLANG), ASSAM",POND,ASSAM,22.0,32.0,2.0,5.3,7.1,8.0,396,953,2.70,17.50,1.30,2.80,2,730,360,2800
2207,"BOR BEEL AT JAKAI., ASSAM",POND,ASSAM,12.0,29.0,2.0,6.5,6.3,7.7,28,258,1.30,4.50,0.90,1.90,300,1100,300,3500
2208,"BORPUKHURI, NAZIRA, ASSAM",POND,ASSAM,19.0,34.0,6.0,7.8,7.0,7.8,24,42,1.20,2.80,0.60,1.40,2,360,2,730
2209,"GAURISAGAR TANK, GAURISAGAR, ASSAM",POND,ASSAM,18.0,31.0,5.0,7.5,6.5,7.3,20,240,1.10,3.70,0.20,1.30,2,730,2,1500
2210,"RAJMAW PUKHURI, JORHAT, ASSAM",POND,ASSAM,18.0,32.0,5.2,7.8,6.7,7.9,47,85,1.40,3.70,0.20,2.00,2,730,2,1500
2211,"PADUMPUKHURI, TEZPUR, ASSAM",POND,ASSAM,20.0,33.0,7.0,7.8,7.5,8.8,28,310,1.60,6.40,0.60,2.80,300,910,720,2000
2212,"GOPHUR TANK, GOPHUR, ASSAM",POND,ASSAM,20.0,32.0,6.8,8.0,7.5,8.9,69,91,1.70,5.60,1.00,2.30,300,1500,720,2800
2213,"JAIPAL PUKHURI, SIPAJHAR, ASSAM",POND,ASSAM,22.0,30.0,6.8,8.0,7.2,8.8,26,231,2.00,7.80,0.80,1.90,2,1100,360,2700
2214,"BOTODRIVA SATRA POND, NAGAON, ASSAM",POND,ASSAM,21.0,36.0,2.5,9.0,6.0,7.8,19,123,1.60,8.80,0.40,2.60,2,730,360,2700
2215,"SARAN BEEL, ASSAM",POND,ASSAM,22.0,34.0,4.2,9.8,7.3,8.1,51,83,1.00,5.40,0.60,1.50,300,730,360,2300
2216,"DIGHALI PUKHURI, GUWAHATI, ASSAM",POND,ASSAM,22.0,33.0,6.0,12.2,7.1,8.7,154,360,2.30,5.80,1.00,2.60,300,1100,730,2800
2217,"SUBHAGYA KUNDA POND KAMAKHYA 
TEMPLE, GUWAHATI, ASSAM",POND,ASSAM,19.0,33.0,5.4,9.6,7.3,8.1,268,620,2.10,7.00,0.80,2.70,700,2800,1400,12000
2219,"BISHNU PUSKAR PUKHURI OF HAYAGRIB 
MADHAB TEMPLE, HAJO, ASSAM",POND,ASSAM,21.0,33.0,6.4,10.8,7.5,9.1,90,228,1.10,14.50,1.50,2.50,300,2000,910,2800
2220,"CHAND DUBI BEEL, CHAND DUBI, ASSAM",POND,ASSAM,15.0,36.0,6.0,10.3,6.1,8.0,19,195,1.00,2.60,0.70,2.80,300,720,360,2300
2221,"GANGA PUKHURI, NALBARI (GORDON 
SCHOOL), ASSAM",POND,ASSAM,21.0,36.0,6.0,10.0,7.5,8.5,49,58,2.00,4.00,0.80,1.60,2,1500,720,4300
2222,"RAJADINIA PUKHURI AT ABHAYAPURI, ASSAM",POND,ASSAM,23.0,38.0,4.7,5.6,7.2,8.1,16,110,1.20,4.20,0.90,1.90,2,700,360,1500
2223,"MAHAMAYA MANDIR PUKHURI, ASSAM",POND,ASSAM,21.0,38.0,3.1,5.5,7.1,8.1,44,63,1.20,2.50,0.70,2.40,300,1500,730,2800
2224,"RAJAPUKHURI AT GAURIPUR, ASSAM",POND,ASSAM,20.0,38.0,3.1,5.8,7.2,8.8,74,98,1.20,2.40,0.70,2.00,2,730,360,2100
2225,"BASKANDI POND INSIDE THE BASKANDI 
MADRASA, BASKANDI, ASSAM",POND,ASSAM,21.0,28.0,4.7,5.8,6.7,7.3,96,116,1.60,3.80,1.30,3.20,2,360,300,2800
2226,"SIVASAGAR TANK (BORPUKHURI) NEAR 
SIVADOL, ASSAM",POND,ASSAM,18.0,32.0,5.8,8.7,6.1,7.5,22,40,1.20,2.80,0.20,1.70,2,730,2,910
2227,"HORDAI PUKHURI, CHARAIDEW, ASSAM",POND,ASSAM,20.0,31.0,5.1,7.6,6.3,7.5,22,36,1.30,3.60,0.60,1.30,2,910,2,2800
2228,"GALA BEEL AT DERGAON, ASSAM",POND,ASSAM,20.0,30.0,4.4,10.0,6.8,7.9,20,57,1.20,2.60,0.40,1.80,2,1500,360,3900
3772,BORPUKHURI AT SONARI,POND,ASSAM,20.0,31.0,4.5,7.5,6.6,7.6,53,87,1.50,2.90,0.80,1.80,2,700,2,1500
3806,"POND WATER FROM RAMKRISHNA MISSION 
AT HAILAKANDI",POND,ASSAM,22.0,25.0,4.1,5.3,6.4,7.5,108,163,2.00,3.20,0.70,1.60,2,2,2,730
3809,"JORPUKHURI AT UZANBAZAR (UGRATALA 
TEMPLE)",POND,ASSAM,23.0,34.0,5.1,10.2,7.5,8.1,311,381,1.90,4.80,1.10,2.50,720,2700,1400,12000
4006,NETAI PUKHURI AT NETAI PUKHURI,POND,ASSAM,20.0,32.0,5.2,8.5,6.8,7.8,22,52,1.80,3.40,0.50,1.70,2,1500,2,4300
4334,"THOWRADOLE PUKHURI, THOWRADOLE G.P. 
DEMOW BLOCK",POND,ASSAM,24.0,34.0,5.8,8.0,7.1,7.9,37,65,1.80,2.50,0.40,1.50,2,300,2,700
